"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FSMMA_genomic","SM2011_genomic"
"group_10","","hypothetical protein","2","2","1","1","1202","","","","659","1550","1104","JPHAALHC_04272","PPGGGBPO_04805"
"cytR_5","","HTH-type transcriptional repressor CytR","2","2","1","1","2009","","","","491","1004","747","JPHAALHC_05272","PPGGGBPO_05424"
"betS","","Glycine betaine/proline betaine transporter BetS","2","2","1","1","1974","","","","311","1979","1145","JPHAALHC_05307","PPGGGBPO_05386"
"dhmA2","","Haloalkane dehalogenase 2","2","2","1","1","1866","","","","1034","1334","1184","JPHAALHC_05414","PPGGGBPO_05278"
"aprA","","Serralysin","2","2","1","1","2765","","","","269","1166","717","JPHAALHC_05870","PPGGGBPO_04820"
"rfbF_2","","Glucose-1-phosphate cytidylyltransferase","2","2","1","1","2845","","","","218","806","512","JPHAALHC_05949","PPGGGBPO_06291"
"group_11","","hypothetical protein","2","2","1","1","2221","","","","833","1592","1212","JPHAALHC_05065","PPGGGBPO_03619"
"xdhA_7","","Xanthine dehydrogenase molybdenum-binding subunit","2","2","1","1","1328","","","","1034","2282","1658","JPHAALHC_06241","PPGGGBPO_05984"
"ltrA_5","","Group II intron-encoded protein LtrA","2","2","1","1","1406","","","","395","1361","878","JPHAALHC_06318","PPGGGBPO_05905"
"group_115","","Zinc-type alcohol dehydrogenase-like protein","2","2","1","1","4124","","","","941","1013","977","JPHAALHC_00126","PPGGGBPO_02759"
"group_116","","hypothetical protein","2","2","1","1","4178","","","","2786","2933","2859","JPHAALHC_00181","PPGGGBPO_02702"
"group_117","pip_2","Proline iminopeptidase","2","2","1","1","4204","","","","962","995","978","JPHAALHC_00207","PPGGGBPO_02676"
"group_118","","hypothetical protein","2","2","1","1","4246","","","","968","1076","1022","JPHAALHC_00249","PPGGGBPO_02635"
"mprF","","Phosphatidylglycerol lysyltransferase","2","2","1","1","4271","","","","2543","2606","2574","JPHAALHC_00273","PPGGGBPO_02611"
